,SKU,Product Description,Menge / Unit (Reference),Product Qty,Purchase,Shipping,Free Shipping,Purchace incl. Freight,Purchasing Total,Margin %,Yield,Unique Selling Price,Total Selling Price
0,100638010000,"Bambus-Küchenrolle (Einweg) 2-lagig / 85 Blatt , Anzahl pro Verp. = 2 Stück , Umverpackung/ VE = braune Tüte 2 Stück , VE je Karton = 20 , Kartons auf Palette = 12",2.0,60.0,"2,350","4,99",250.0,"2,43","145,99","0,45","65,69","3,52€","211,68"
1,,,4.0,100.0,"2,350","4,99",250.0,"2,39","239,99","0,42","100,79","3,40€","340,78"
2,,,3.0,140.0,"2,350","4,99",250.0,"2,35","329,0","0,38","125,02","3,24€","454,02"
3,,,4.0,180.0,"2,350","4,99",250.0,"2,35","423,0","0,36","152,28","3,19€","575,28"
4,,,5.0,220.0,"2,350","4,99",250.0,"2,35","517,0","0,34","175,78","3,14€","692,78"
5,,,6.0,260.0,"2,350","4,99",250.0,"2,35","611,0","0,32","195,52","3,10€","806,52"
6,,,7.0,300.0,"2,350","4,99",250.0,"2,35","705,0","0,28","197,4","3,00€","902,4"
7,,,8.0,340.0,"2,350","4,99",250.0,"2,35","799,0","0,26","207,74","2,96€","1006,74"
8,,,9.0,380.0,"2,350","4,99",250.0,"2,35","893,0","0,24","214,32","2,91€","1107,32"
9,,,10.0,420.0,"2,350","4,99",250.0,"2,35","987,0","0,22","217,14","2,86€","1204,13"
10,,,,,,,,,,,,,
11,100638010000-PAL,"Bambus-Küchenrolle (Einweg) 2-lagig / 85 Blatt , Anzahl pro Verp. = 2 Stück , Umverpackung/ VE = braune Tüte 2 Stück , VE je Karton = 20 , Kartons auf Palette = 12",2.0,960.0,"2,350","4,99",250.0,"2,350",2256,"0,20","451,20","2,82€","2707,20"
12,,,4.0,1920.0,"2,350","4,99",250.0,"2,350",4512,"0,19","857,28","2,80€","5369,28"
13,,,6.0,2880.0,"2,350","4,99",250.0,"2,350",6768,"0,18","1218,24","2,77€","7986,24"
14,,,8.0,3840.0,"2,350","4,99",250.0,"2,350",9024,"0,17","1534,08","2,75€","10558,08"
15,,,10.0,4800.0,"2,350","4,99",250.0,"2,350",11280,"0,16","1804,80","2,73€","13084,80"
16,,,12.0,5760.0,"2,350","4,99",250.0,"2,350",13536,"0,15","2030,40","2,70€","15566,40"
17,,,14.0,6720.0,"2,350","4,99",250.0,"2,350",15792,"0,14","2210,88","2,68€","18002,88"
18,,,16.0,7680.0,"2,350","4,99",250.0,"2,350",18048,"0,13","2346,24","2,66€","20394,24"
19,,,18.0,8640.0,"2,350","4,99",250.0,"2,350",20304,"0,12","2436,48","2,63€","22740,48"
20,,,20.0,9600.0,"2,350","4,99",250.0,"2,350",22560,"0,10","2256,00","2,59€","24816,00"
21,,,,,,,,,,,,,
22,100641010000,"Bambus-Küchenrolle (Mehrweg) Wiederverwendbar/ 20 Tücher , Anzahl 
pro Verp. = 1 Stück , Umverpackung/ VE = , VE je Karton = 46 , Kartons auf Palette
 = 12",1.0,46.0,"5,040","4,99",250.0,"5,148","236,83","0,45","106,57","7,47€","343,40"
23,,,2.0,92.0,"5,040","4,99",250.0,"5,040","463,68","0,42","194,75","7,16€","658,43"
24,,,3.0,138.0,"5,040","4,99",250.0,"5,040","695,52","0,38","264,30","6,96€","959,82"
25,,,4.0,184.0,"5,040","4,99",250.0,"5,040","927,36","0,36","333,85","6,85€","1261,21"
26,,,5.0,230.0,"5,040","4,99",250.0,"5,040","1159,2","0,34","394,13","6,75€","1553,33"
27,,,6.0,276.0,"5,040","4,99",250.0,"5,040","1391,04","0,32","445,13","6,65€","1836,17"
28,,,7.0,322.0,"5,040","4,99",250.0,"5,040","1622,88","0,28","454,41","6,45€","2077,29"
29,,,8.0,368.0,"5,040","4,99",250.0,"5,040","1854,72","0,26","482,23","6,35€","2336,95"
30,,,9.0,414.0,"5,040","4,99",250.0,"5,040","2086,56","0,24","500,77","6,25€","2587,33"
31,,,10.0,460.0,"5,040","4,99",250.0,"5,040","2318,4","0,22","510,05","6,15€","2828,45"
32,,,,,,,,,,,,,
